question_code,module_group_code,module_group,library_type,domain_code_original,domain_name_original,factor_code,factor_name_ko,factor_definition,factor_order,item_order,original_text,static_sql_text,static_sql_source_file,static_sql_source_line,runtime_api_text,runtime_api_source_file,source_conflict,source_conflict_reason,original_reverse,revised_text,response_frame,scoring_direction,difficulty,target_levels,overlap_group,duplicate_groups,original_decision,issue_codes,rationale,original_definition_fit,original_observable_behavior,original_single_focus,original_period_context,original_opportunity_handling,original_role_applicability,original_social_desirability_control,original_duplicate_control,original_training_actionability,original_frequency_scale_fit,original_validity_score,definition_fit,observable_behavior,single_focus,period_context,opportunity_handling,role_applicability,social_desirability_control,duplicate_control,training_actionability,frequency_scale_fit,validity_score,empirical_status,active,source_file,source_line_approx
Q-GM-03,COMMON,공통기반,base,CORE,핵심역량,CORE-GM,성장 마인드셋,지속적인 학습과 변화를 통해 자신을 발전시키려는 의지와 태도,3,3,나는 익숙한 방법보다 검증된 기존 방식을 선호하기 때문에 새로운 시도를 꺼리는 편이다.,나는 익숙한 방법보다 검증된 기존 방식을 선호하기 때문에 새로운 시도를 꺼리는 편이다.,database/seed.sql,263,,,False,,True,익숙하지 않은 업무 방식도 효과를 확인할 수 있게 시험했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,growth_change,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|REVERSE_WORDING|ABSTRACT_SELF_RATING|SOCIAL_DESIRABILITY_HIGH,역량 정의와 관련되지만 역문항 문구가 해석오류를 키움; 추상적 자기평가 또는 효과성 표현; 바람직한 답이 지나치게 뚜렷함. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,1,0,1,1,0,1,1,0,6,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,267
Q-GM-04,COMMON,공통기반,base,CORE,핵심역량,CORE-GM,성장 마인드셋,지속적인 학습과 변화를 통해 자신을 발전시키려는 의지와 태도,3,4,나는 상사나 동료로부터 개선 피드백을 받았을 때 방어적으로 반응하지 않고 수용한다.,나는 상사나 동료로부터 개선 피드백을 받았을 때 방어적으로 반응하지 않고 수용한다.,database/seed.sql,270,,,False,,False,개선 피드백을 받은 뒤 실행할 행동을 정해 반영했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,growth_change,DUP_FEEDBACK_COACHING,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED|ABSTRACT_SELF_RATING|OPPORTUNITY_DEPENDENT|SOCIAL_DESIRABILITY_HIGH|SEMANTIC_DUPLICATE,역량 정의와 관련되지만 한 문항에 여러 행동·결과가 결합됨; 추상적 자기평가 또는 효과성 표현; 역할·사건·도구에 따라 수행기회가 달라짐. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,0,0,0,1,0,0,1,0,3,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,274
Q-ST-01,WORK,업무수행 기본,base,JOB,직무역량,JOB-ST,전략적 사고,복잡한 상황에서 핵심을 파악하고 전략적 방향을 설정하는 역량,4,1,나는 업무 상황을 분석할 때 표면적 현상보다 근본 원인과 배경까지 파악하려 한다.,나는 업무 상황을 분석할 때 표면적 현상보다 근본 원인과 배경까지 파악하려 한다.,database/seed.sql,280,,,False,,False,외부 환경 변화와 내부 여건을 함께 검토해 핵심 이슈를 정리했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,staff|manager|executive,strategy_planning,DUP_PROBLEM_DEFINITION,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED|ABSTRACT_SELF_RATING|CONTENT_MISALIGNMENT|SEMANTIC_DUPLICATE,역량 정의와 관련되지만 한 문항에 여러 행동·결과가 결합됨; 추상적 자기평가 또는 효과성 표현; 현재 역량 정의보다 다른 역량을 더 직접 측정함. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,0,0,0,0,1,0,1,0,1,0,3,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,284
Q-ST-02,WORK,업무수행 기본,base,JOB,직무역량,JOB-ST,전략적 사고,복잡한 상황에서 핵심을 파악하고 전략적 방향을 설정하는 역량,4,2,나는 당장의 급한 일과 중요한 일을 구분하여 우선순위를 정하고 행동한다.,나는 당장의 급한 일과 중요한 일을 구분하여 우선순위를 정하고 행동한다.,database/seed.sql,287,,,False,,False,단기 영향과 중장기 영향을 비교해 우선순위를 정했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,staff|manager|executive,strategy_planning,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED,역량 정의와 관련되지만 한 문항에 여러 행동·결과가 결합됨. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,1,0,0,1,0,1,1,1,0,6,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,291
Q-ST-03,WORK,업무수행 기본,base,JOB,직무역량,JOB-ST,전략적 사고,복잡한 상황에서 핵심을 파악하고 전략적 방향을 설정하는 역량,4,3,나는 의사결정 시 장기적인 영향보다 단기 성과에 주로 집중하는 편이다.,나는 의사결정 시 장기적인 영향보다 단기 성과에 주로 집중하는 편이다.,database/seed.sql,294,,,False,,True,의사결정 전에 단기 성과와 중장기 영향의 균형을 검토했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,3,staff|manager|executive,strategy_planning,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|REVERSE_WORDING,역량 정의와 관련되지만 역문항 문구가 해석오류를 키움. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,1,1,0,1,0,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,298
Q-ST-04,WORK,업무수행 기본,base,JOB,직무역량,JOB-ST,전략적 사고,복잡한 상황에서 핵심을 파악하고 전략적 방향을 설정하는 역량,4,4,나는 다양한 정보와 데이터를 연결하여 의미 있는 패턴이나 인사이트를 도출한다.,나는 다양한 정보와 데이터를 연결하여 의미 있는 패턴이나 인사이트를 도출한다.,database/seed.sql,301,,,False,,False,서로 다른 정보에서 공통 패턴이나 업무 시사점을 도출했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,3,staff|manager|executive,strategy_planning,DUP_DATA_INSIGHT,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED|ABSTRACT_SELF_RATING|SEMANTIC_DUPLICATE,역량 정의와 관련되지만 한 문항에 여러 행동·결과가 결합됨; 추상적 자기평가 또는 효과성 표현; 다른 모듈과 의미가 중복되어 동시 선택 시 이중가중 위험. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,0,0,1,0,1,0,1,0,4,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,305
Q-PS-01,WORK,업무수행 기본,base,JOB,직무역량,JOB-PS,문제해결력,문제의 근본 원인을 분석하고 효과적인 해결책을 도출하는 역량,5,1,"나는 문제에 직면했을 때, 해결책을 바로 찾기보다 먼저 문제의 본질을 명확히 정의한다.","나는 문제에 직면했을 때, 해결책을 바로 찾기보다 먼저 문제의 본질을 명확히 정의한다.",database/seed.sql,311,,,False,,False,문제 해결을 시작하기 전에 현상과 원인을 구분해 문제를 정의했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,problem_analysis,DUP_PROBLEM_DEFINITION,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|SEMANTIC_DUPLICATE,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,1,0,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,315
Q-PS-02,WORK,업무수행 기본,base,JOB,직무역량,JOB-PS,문제해결력,문제의 근본 원인을 분석하고 효과적인 해결책을 도출하는 역량,5,2,나는 한 가지 해결책에 매몰되지 않고 다양한 대안을 탐색한 후 최선을 선택한다.,나는 한 가지 해결책에 매몰되지 않고 다양한 대안을 탐색한 후 최선을 선택한다.,database/seed.sql,318,,,False,,False,해결 대안을 둘 이상 비교한 뒤 선택했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,problem_analysis,,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,1,1,1,0,8,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,322
Q-PS-03,WORK,업무수행 기본,base,JOB,직무역량,JOB-PS,문제해결력,문제의 근본 원인을 분석하고 효과적인 해결책을 도출하는 역량,5,3,"나는 추측이나 경험에만 의존하지 않고, 데이터와 사실에 근거하여 문제를 분석한다.","나는 추측이나 경험에만 의존하지 않고, 데이터와 사실에 근거하여 문제를 분석한다.",database/seed.sql,325,,,False,,False,문제를 분석할 때 확인 가능한 데이터나 사실을 사용했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,problem_analysis,,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,1,1,1,0,8,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,329
Q-PS-04,WORK,업무수행 기본,base,JOB,직무역량,JOB-PS,문제해결력,문제의 근본 원인을 분석하고 효과적인 해결책을 도출하는 역량,5,4,"나는 실행한 해결책의 효과를 점검하고, 기대한 결과가 나오지 않으면 방향을 수정한다.","나는 실행한 해결책의 효과를 점검하고, 기대한 결과가 나오지 않으면 방향을 수정한다.",database/seed.sql,332,,,False,,False,해결책 실행 후 결과를 확인하고 필요한 조치를 수정했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,problem_analysis,,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,1,1,1,0,8,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,336
Q-EX-01,WORK,업무수행 기본,base,JOB,직무역량,JOB-EX,실행력,목표를 향해 끈기 있게 추진하고 성과를 창출하는 역량,6,1,나는 목표를 달성하기 위해 구체적인 실행 계획을 수립하고 이를 체계적으로 관리한다.,나는 목표를 달성하기 위해 구체적인 실행 계획을 수립하고 이를 체계적으로 관리한다.,database/seed.sql,342,,,False,,False,주요 업무의 실행 단계와 마감일을 정하고 진행 상황을 점검했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,execution_pm,DUP_PLAN_EXECUTION,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED|SEMANTIC_DUPLICATE,역량 정의와 관련되지만 한 문항에 여러 행동·결과가 결합됨; 다른 모듈과 의미가 중복되어 동시 선택 시 이중가중 위험. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,1,0,0,1,1,1,0,1,0,6,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,346
Q-EX-02,WORK,업무수행 기본,base,JOB,직무역량,JOB-EX,실행력,목표를 향해 끈기 있게 추진하고 성과를 창출하는 역량,6,2,나는 예상치 못한 장애물이 생겨도 포기하지 않고 다른 방법을 찾아 목표를 완수한다.,나는 예상치 못한 장애물이 생겨도 포기하지 않고 다른 방법을 찾아 목표를 완수한다.,database/seed.sql,349,,,False,,False,장애물이 생겼을 때 대안을 찾아 업무를 계속 진행했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,execution_pm,,유지,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|SOCIAL_DESIRABILITY_HIGH,"측정역량과 직접 연결되는 비교적 단일한 행동이다. 문항 원문은 유지할 수 있으나, 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용해야 한다.",1,1,1,0,1,1,0,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,353
Q-EX-03,WORK,업무수행 기본,base,JOB,직무역량,JOB-EX,실행력,목표를 향해 끈기 있게 추진하고 성과를 창출하는 역량,6,3,나는 업무 마감기한을 지키지 못하거나 계획보다 진행이 늦어지는 경우가 자주 있다.,나는 업무 마감기한을 지키지 못하거나 계획보다 진행이 늦어지는 경우가 자주 있다.,database/seed.sql,356,,,False,,True,마감 지연 가능성을 미리 확인하고 관계자에게 알리거나 일정을 조정했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,execution_pm,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|REVERSE_WORDING|DOUBLE_BARRELED,역량 정의와 관련되지만 역문항 문구가 해석오류를 키움; 한 문항에 여러 행동·결과가 결합됨. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,1,0,0,1,1,1,1,1,0,7,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,360
Q-EX-04,WORK,업무수행 기본,base,JOB,직무역량,JOB-EX,실행력,목표를 향해 끈기 있게 추진하고 성과를 창출하는 역량,6,4,나는 최소 기준을 충족하는 것에 만족하지 않고 더 높은 수준의 결과를 만들기 위해 노력한다.,나는 최소 기준을 충족하는 것에 만족하지 않고 더 높은 수준의 결과를 만들기 위해 노력한다.,database/seed.sql,363,,,False,,False,요구 기준을 확인하고 결과물의 품질을 높이기 위한 추가 검토를 했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,all,execution_pm,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|ABSTRACT_SELF_RATING|SOCIAL_DESIRABILITY_HIGH,역량 정의와 관련되지만 추상적 자기평가 또는 효과성 표현; 바람직한 답이 지나치게 뚜렷함. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,1,0,1,1,0,1,1,0,6,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,367
Q-PD-01,LEADERSHIP,리더십,base,LEAD,리더십역량,LEAD-PD,사람 육성,구성원의 역량을 개발하고 성장을 지원하는 역량,7,1,나는 구성원 각각의 강점과 개발 필요 역량을 파악하고 있다.,나는 구성원 각각의 강점과 개발 필요 역량을 파악하고 있다.,database/seed.sql,373,,,False,,False,구성원과의 대화에서 강점과 개발 과제를 구체적인 행동 사례로 확인했다.,최근 8주 동안 다음 행동을 얼마나 자주 했습니까?,direct,2,manager|executive,people_development,,수정,PERIOD_UNSPECIFIED|AGREEMENT_SCALE_MISMATCH|DOUBLE_BARRELED|ABSTRACT_SELF_RATING|OPPORTUNITY_DEPENDENT|ROLE_LEVEL_BIAS,역량 정의와 관련되지만 한 문항에 여러 행동·결과가 결합됨; 추상적 자기평가 또는 효과성 표현; 역할·사건·도구에 따라 수행기회가 달라짐. 제시한 단일 행동문으로 수정하고 공통 회상기간·행동빈도 척도·'수행기회 없음' 옵션을 적용한다.,1,0,0,0,0,0,1,1,1,0,4,1,1,1,1,1,1,1,1,1,1,10,전문가 예비검토·인지면접 전,True,database/seed.sql,377
